Gene,logFC,padj,p_value
CYB561D2,-0.9926555,NA,6.18E-01
CACNA2D2,-0.2477822,NA,8.38E-01
C3orf18,0.5741191,NA,7.45E-01
HEMK1,0.5396539,NA,5.78E-01
DOCK3,-0.5826309,NA,4.33E-01
RBM15B,0.7301976,NA,6.78E-01
DCAF1,-0.4582266,NA,6.89E-01
RAD54L2,0.1809594,NA,8.90E-01
TEX264,4.0264057,NA,1.75E-02
RRP9,0.4977194,NA,7.41E-01
PARP3,0.2827283,NA,8.83E-01
GPR62,4.6524569,NA,4.94E-03
PCBP4,0.8159,NA,6.26E-01
LOC105377088,-1.9539541,NA,2.53E-01
WDR82,-0.0488195,NA,9.81E-01
BAP1,0.0272659,NA,9.83E-01
SEMA3G,1.0745385,NA,5.49E-01
LOC105377091,-0.2061474,NA,9.17E-01
NISCH,1.1665229,NA,3.88E-01
PBRM1,1.5813026,NA,1.64E-01
ITIH1,-0.2140763,NA,8.62E-01
ITIH3,0.3294121,NA,8.40E-01
ITIH4,-0.6004348,NA,6.95E-01
RFT1,-1.3687296,NA,3.05E-01
PRKCD,-0.2487994,NA,8.75E-01
TKT,2.9871314,NA,1.87E-02
CHDH,1.2563647,NA,5.83E-01
ACTR8,-0.2478405,NA,8.78E-01
CACNA2D3,1.0455876,NA,5.71E-01
LOC107986088,-0.3193088,NA,8.77E-01
TASOR,1.2124492,NA,3.68E-01
ARHGEF3,0.5856451,NA,7.12E-01
IL17RD,-1.4892658,NA,3.08E-01
DNAH12,0.5514548,NA,7.21E-01
FLNB,-0.5314474,NA,6.18E-01
FLNB-AS1,0.3128304,NA,8.55E-01
RPP14,1.852173,NA,2.98E-01
PXK,-1.4759568,NA,2.99E-01
LOC107984079,-0.7341768,NA,6.86E-01
LOC105377112,-1.1298057,NA,5.34E-01
PTPRG,-0.6291919,NA,6.88E-01
CADPS,-1.3798796,NA,4.02E-01
PRICKLE2-AS1,0.3316551,NA,8.44E-01
PRICKLE2,-0.194033,NA,8.90E-01
LOC105377123,-1.38456,NA,4.56E-01
ADAMTS9,-0.1810516,NA,8.77E-01
MAGI1,-1.6122751,NA,2.66E-01
SLC25A26,-0.4833941,NA,7.85E-01
LRIG1,1.0466983,NA,4.13E-01
EOGT,-2.199209,NA,2.15E-01
FRMD4B,-0.3790546,NA,8.05E-01
MITF,-1.5329048,NA,3.99E-01
FOXP1,-0.7962547,NA,4.66E-01
PDZRN3,-2.0025641,NA,2.19E-01
CNTN3,0.2572403,NA,8.95E-01
ROBO1,-1.5615627,NA,2.32E-01
NSUN3,-1.0260097,NA,5.11E-01
EPHA6,-0.3560264,NA,7.91E-01
CRYBG3,0.8431405,NA,5.95E-01
ST3GAL6,-0.3548947,NA,8.29E-01
NIT2,0.3969917,NA,8.28E-01
NXPE3,-0.8342387,NA,5.58E-01
LOC101929534,-1.3384781,NA,4.68E-01
BBX,1.9134916,NA,2.03E-01
CD47,0.0448889,NA,9.72E-01
DZIP3,-0.1377626,NA,9.29E-01
MORC1,-1.5736878,NA,3.73E-01
NECTIN3,-0.9215877,NA,6.09E-01
CD96,-0.7860985,NA,6.33E-01
C3orf52,-0.7206373,NA,5.26E-01
BTLA,-1.0357799,NA,6.13E-01
SIDT1,0.1677079,NA,9.25E-01
USF3,-0.558932,NA,7.13E-01
GRAMD1C,1.0707974,NA,5.35E-01
TIGIT,-1.0070232,NA,3.21E-01
LSAMP,0.0406782,NA,9.76E-01
ARHGAP31,0.5791295,NA,7.29E-01
GSK3B,0.6069717,NA,6.33E-01
HGD,-1.8405092,NA,2.10E-01
POLQ,-2.606093,NA,8.99E-02
HCLS1,0.6099354,NA,7.34E-01
GOLGB1,0.1487738,NA,9.13E-01
CASR,-2.0929251,NA,1.61E-01
PARP9,0.3173351,NA,8.64E-01
PARP14,-0.5061539,NA,7.20E-01
SEMA5B,-1.1164819,NA,3.95E-01
LOC112268448,0.1997766,NA,9.13E-01
ADCY5,-1.8331305,NA,1.75E-01
MYLK,0.353391,NA,7.44E-01
LOC105369194,0.3717478,NA,8.34E-01
ROPN1,-0.0427989,NA,9.83E-01
KALRN,0.4038157,NA,7.19E-01
UMPS,-0.7226628,NA,6.75E-01
ITGB5,1.6973575,NA,2.24E-01
HEG1,0.0017231,NA,9.99E-01
SLC12A8,0.1474697,NA,9.09E-01
OSBPL11,-1.6389019,NA,3.46E-01
SLC41A3,0.2884128,NA,8.87E-01
ALDH1L1,-1.1370511,NA,5.31E-01
KLF15,0.7168145,NA,7.05E-01
CFAP100,1.8580959,NA,2.52E-01
UROC1,0.329433,NA,8.57E-01
C3orf22,0.3672841,NA,7.96E-01
CHCHD6,-0.904675,NA,5.77E-01
TPRA1,-1.6682452,NA,1.94E-01
MCM2,-1.3297183,NA,4.17E-01
ABTB1,0.1464942,NA,9.16E-01
MGLL,2.0727926,NA,2.73E-01
LOC107986127,-1.5744906,NA,3.14E-01
EEFSEC,1.2023208,NA,4.68E-01
GATA2,0.2859174,NA,8.45E-01
LINC01565,-0.6133174,NA,6.88E-01
ACAD9,-1.1148389,NA,4.65E-01
ISY1-RAB43,0.340633,NA,8.33E-01
CNBP,1.5220276,NA,4.02E-01
COPG1,-2.7604533,NA,4.42E-02
EFCAB12,1.9867434,NA,1.24E-01
IFT122,-0.3452226,NA,8.01E-01
H1-8,2.0685419,NA,2.55E-01
PLXND1,0.0897021,NA,9.40E-01
COL6A4P2,-0.6723745,NA,6.39E-01
COL6A5,0.0446375,NA,9.78E-01
COL6A6,0.3986774,NA,7.97E-01
NEK11,0.8220167,NA,6.21E-01
CPNE4,-0.334753,NA,8.51E-01
LOC101927432,-0.8805188,NA,4.24E-01
TF,0.6982266,NA,5.63E-01
SRPRB,0.5251953,NA,7.76E-01
RAB6B,1.8443029,NA,3.01E-01
SLCO2A1,-0.5482793,NA,6.95E-01
CEP63,-1.415874,NA,4.29E-01
EPHB1,1.9666066,NA,1.93E-01
KY,-0.729207,NA,6.04E-01
LOC105374121,-0.812074,NA,4.46E-01
LOC102724019,-1.7048601,NA,1.75E-01
SLC35G2,0.1174213,NA,9.50E-01
DZIP1L,0.7626741,NA,6.74E-01
NME9,-0.691655,NA,5.88E-01
MRAS,-0.7601455,NA,6.52E-01
ESYT3,-0.036896,NA,9.81E-01
LINC01391,-0.3216092,NA,8.10E-01
CLSTN2,0.0656046,NA,9.53E-01
LOC102724068,-0.8815155,NA,6.28E-01
SPSB4,-0.8974202,NA,3.90E-01
ZBTB38,0.6432695,NA,6.30E-01
TFDP2,2.4128747,NA,6.59E-02
XRN1,0.1788929,NA,8.72E-01
TRPC1,-1.4051795,NA,3.45E-01
U2SURP,0.6006927,NA,7.26E-01
SLC9A9,0.8278422,NA,6.52E-01
PLSCR2,-2.3667751,NA,1.94E-01
ZIC4,1.0289153,NA,5.35E-01
LOC105374162,-1.5959372,NA,3.84E-01
RAP2B,-0.780592,NA,5.99E-01
ARHGEF26,-1.4176169,NA,3.91E-01
PLCH1,-0.5044032,NA,7.41E-01
SLC33A1,-0.5577216,NA,7.23E-01
KCNAB1,-0.087494,NA,9.55E-01
LOC101928236,-1.1767087,NA,5.58E-01
LOC100287290,-0.0946309,NA,9.45E-01
PPM1L,-0.5431075,NA,7.26E-01
LOC105374187,-1.9575425,NA,3.25E-01
ZBBX,-2.5108537,NA,1.90E-01
PDCD10,2.5617295,NA,1.07E-01
SEC62,1.3812849,NA,4.39E-01
PHC3,0.2207748,NA,8.91E-01
SLC7A14,0.6932548,NA,6.56E-01
TNIK,0.8046433,NA,5.68E-01
PLD1,0.8522493,NA,6.37E-01
NLGN1,-0.3416291,NA,7.84E-01
NAALADL2,-1.3079315,NA,2.96E-01
TBL1XR1,1.0260205,NA,5.99E-01
LOC105374235,-0.2554552,NA,8.90E-01
KCNMB2-AS1,-2.6000923,NA,1.70E-01
MFN1,1.0022648,NA,6.20E-01
PEX5L,-2.1331549,NA,1.85E-01
FXR1,-0.9283014,NA,4.85E-01
LINC01206,1.6538831,NA,3.23E-01
ATP11B,0.8488666,NA,5.76E-01
DCUN1D1,0.6648449,NA,7.02E-01
MCCC1,-0.7948585,NA,5.74E-01
MCF2L2,0.2307236,NA,8.83E-01
KLHL6,-0.3500033,NA,8.52E-01
KLHL24,0.724048,NA,6.34E-01
ABCC5,-0.8640143,NA,5.57E-01
DVL3,-1.3123687,NA,3.52E-01
AP2M1,1.9935377,NA,2.11E-01
ABCF3,1.2401667,NA,4.76E-01
VWA5B2,2.0346505,NA,1.32E-01
EEF1AKMT4-ECE2,-1.4138998,NA,4.55E-01
ECE2,-0.3604737,NA,8.31E-01
PSMD2,-0.2869926,NA,8.46E-01
EIF4G1,-0.1608512,NA,9.02E-01
CLCN2,-0.6878194,NA,6.52E-01
CHRD,0.3491765,NA,8.08E-01
EPHB3,-0.2327612,NA,8.75E-01
VPS8,0.0166018,NA,9.92E-01
C3orf70,0.0137794,NA,9.92E-01
MAP3K13,-0.160796,NA,9.08E-01
LIPH,-0.6347712,NA,7.03E-01
IGF2BP2,1.2587987,NA,4.97E-01
MASP1,-0.3270567,NA,8.38E-01
BCL6,1.4088045,NA,2.43E-01
TPRG1,0.7207021,NA,6.24E-01
IL1RAP,-0.9873484,NA,4.94E-01
GMNC,-3.7160686,NA,2.29E-02
CCDC50,-0.6853271,NA,6.83E-01
ATP13A4,-1.2774212,NA,3.96E-01
OPA1,-0.8630461,NA,5.68E-01
ATP13A3,-0.0877508,NA,9.55E-01
TMEM44,0.2887628,NA,8.68E-01
LSG1,-0.3967453,NA,7.96E-01
XXYLT1,-1.1951602,NA,3.43E-01
ACAP2,2.5743362,NA,1.49E-01
LOC105374298,1.2642653,NA,3.37E-01
SDHAP2,0.2829418,NA,8.10E-01
TNK2,0.6734096,NA,5.87E-01
LOC727978,1.4640707,NA,4.10E-01
SDHAP1,-1.027872,NA,2.98E-01
LOC105374301,-0.5029635,NA,6.82E-01
LOC105374304,-0.3219989,NA,8.62E-01
RNF168,-0.0179372,NA,9.92E-01
NCBP2,1.6779496,NA,3.52E-01
PIGZ,1.4409024,NA,3.99E-01
DLG1,-0.7598058,NA,6.53E-01
BDH1,0.5857644,NA,6.68E-01
SDHAP4,-0.8610255,NA,6.57E-01
LOC112268458,-0.3409596,NA,8.12E-01
RUBCN,0.2744791,NA,8.35E-01
LRCH3,-0.5904299,NA,6.73E-01
FAM157A,-0.3489048,NA,7.81E-01
LOC101928669,0.2377105,NA,8.48E-01
ZNF141,-0.73126,NA,5.87E-01
PIGG,0.0905235,NA,9.41E-01
PDE6B,0.5559981,NA,6.92E-01
MYL5,0.517264,NA,7.70E-01
SLC49A3,-1.2409462,NA,3.27E-01
PCGF3,-0.3422915,NA,8.31E-01
LOC107986211,-1.654743,NA,1.65E-01
GAK,-1.4645035,NA,3.10E-01
TMEM175,1.053631,NA,5.65E-01
DGKQ,0.153552,NA,9.10E-01
IDUA,0.4312674,NA,7.85E-01
SPON2,1.6617631,NA,1.94E-01
LOC100130872,-0.4464829,NA,7.75E-01
CTBP1-AS,1.3010989,NA,4.74E-01
MAEA,1.9366967,NA,1.89E-01
TACC3,1.1053375,NA,4.96E-01
FGFR3,-0.7785026,NA,5.62E-01
LETM1,-0.2985808,NA,8.41E-01
NSD2,-0.667462,NA,6.05E-01
NELFA,1.4836199,NA,3.83E-01
NAT8L,-0.5949436,NA,6.77E-01
MXD4,3.3437929,NA,2.54E-02
ZFYVE28,-0.2852649,NA,7.96E-01
CFAP99,-0.3476322,NA,8.32E-01
RNF4,-0.3697691,NA,8.42E-01
FAM193A,-1.2348011,NA,3.40E-01
SH3BP2,0.599882,NA,6.44E-01
ADD1,0.2201681,NA,8.58E-01
MSANTD1,0.6017499,NA,5.66E-01
RGS12,1.545106,NA,1.64E-01
HGFAC,-0.9418734,NA,5.30E-01
DOK7,0.4279935,NA,7.47E-01
LRPAP1,0.9298998,NA,5.31E-01
LOC105374357,-0.1784373,NA,8.82E-01
LINC02600,-0.8155877,NA,5.73E-01
NSG1,0.3604316,NA,8.60E-01
LOC107986254,-0.7545501,NA,7.07E-01
STK32B,-0.8734753,NA,5.92E-01
EVC2,0.6817428,NA,5.23E-01
EVC,0.9523523,NA,2.75E-01
C4orf50,-0.6217221,NA,5.74E-01
JAKMIP1,-0.249401,NA,8.79E-01
WFS1,0.2940223,NA,8.67E-01
PPP2R2C,-0.0399495,NA,9.77E-01
MAN2B2,0.0280819,NA,9.77E-01
KIAA0232,-1.9680293,NA,2.06E-01
TBC1D14,1.0791951,NA,5.12E-01
LOC100129931,0.758299,NA,6.63E-01
SORCS2,-0.4134857,NA,7.24E-01
AFAP1,1.4306404,NA,2.64E-01
ABLIM2,0.2975659,NA,7.77E-01
SH3TC1,-0.0727561,NA,9.57E-01
HTRA3,0.2425036,NA,8.71E-01
ACOX3,-0.1370489,NA,9.09E-01
TRMT44,-0.5588966,NA,7.40E-01
CPZ,1.3884032,NA,4.21E-01
LOC105374474,-1.2005952,NA,3.98E-01
USP17L11,0.2543825,NA,8.61E-01
USP17L15,-1.6026457,NA,1.15E-01
USP17L17,0.5461141,NA,7.70E-01
USP17L18,1.6526542,NA,3.11E-01
SLC2A9,0.0135708,NA,9.91E-01
SLC2A9-AS1,0.5510625,NA,6.48E-01
WDR1,-0.3421971,NA,8.89E-01
ZNF518B,1.8602911,NA,2.22E-01
HS3ST1,-0.6680029,NA,7.09E-01
LOC101929048,-0.5082795,NA,8.03E-01
CC2D2A,-0.8436282,NA,5.48E-01
FBXL5,-0.2757605,NA,8.78E-01
PROM1,-1.5200557,NA,2.55E-01
FAM184B,-1.7468785,NA,3.17E-01
SLIT2,-0.6121132,NA,6.35E-01
KCNIP4,-1.518349,NA,2.95E-01
LOC112268323,0.675414,NA,7.35E-01
ADGRA3,0.57629,NA,7.11E-01
PPARGC1A,-1.2531467,NA,4.11E-01
CCDC149,-0.7761921,NA,6.98E-01
LOC102723675,-2.1402259,NA,1.96E-01
LGI2,0.774008,NA,6.45E-01
ZCCHC4,0.1525219,NA,9.32E-01
SLC34A2,0.5744474,NA,7.36E-01
SEL1L3,-1.3503087,NA,4.40E-01
TBC1D19,-0.6479316,NA,7.14E-01
ARAP2,-0.8630257,NA,5.57E-01
TBC1D1,0.5249355,NA,7.09E-01
KLF3,1.0902544,NA,5.16E-01
FAM114A1,-2.4732042,NA,8.34E-02
KLHL5,-0.869548,NA,6.60E-01
RPL9,3.8302153,NA,5.33E-03
RBM47,-1.6330336,NA,1.72E-01
APBB2,-3.0854424,NA,1.96E-02
LIMCH1,0.3071838,NA,8.18E-01
ATP8A1,1.2946765,NA,3.51E-01
GABRB1,-0.0384276,NA,9.79E-01
TEC,-1.1855636,NA,4.97E-01
FRYL,-1.5066237,NA,2.61E-01
DCUN1D4,-0.343006,NA,8.26E-01
SPATA18,-0.0916727,NA,9.61E-01
SCFD2,0.8317164,NA,6.57E-01
FIP1L1,-0.6941893,NA,6.76E-01
LNX1,-1.4863266,NA,3.43E-01
PDGFRA,0.816542,NA,6.00E-01
CLOCK,-1.9742478,NA,2.38E-01
CRACD,-0.7824558,NA,5.13E-01
THEGL,0.6136502,NA,7.27E-01
ADGRL3,0.2512175,NA,8.68E-01
SULT1B1,-0.6579933,NA,6.89E-01
RUFY3,-0.2275498,NA,8.77E-01
MOB1B,-0.2809942,NA,8.89E-01
SLC4A4,-0.0400227,NA,9.79E-01
ANKRD17,-1.6308579,NA,9.35E-02
MTHFD2L,-1.8874947,NA,2.64E-01
G3BP2,-0.0426618,NA,9.80E-01
PPEF2,-1.0505434,NA,5.48E-01
FRAS1,-0.7954771,NA,4.36E-01
NAA11,-1.6892575,NA,1.60E-01
PRDM8-AS1,-0.1800885,NA,9.02E-01
PRKG2,-1.8139995,NA,3.13E-01
WDFY3,0.1386838,NA,9.21E-01
ARHGAP24,-0.4080889,NA,8.05E-01
MAPK10,1.5527997,NA,2.16E-01
PTPN13,-0.4686292,NA,7.37E-01
AFF1,0.8206104,NA,6.26E-01
KLHL8,-0.4996153,NA,7.55E-01
ABCG2,-0.336684,NA,8.42E-01
PPM1K,0.7174296,NA,6.61E-01
HERC3,1.0125532,NA,5.45E-01
FAM13A,-0.0902891,NA,9.60E-01
GPRIN3,-0.4002938,NA,8.34E-01
SNCA,1.7324896,NA,4.47E-01
CCSER1,-1.841268,NA,1.19E-01
GRID2,-0.7165443,NA,6.25E-01
UNC5C,-2.1044749,NA,1.93E-01
EIF4E,-1.3778037,NA,4.05E-01
METAP1,-1.199915,NA,5.38E-01
ADH1B,-2.2307342,NA,2.15E-01
DAPP1,-0.4539738,NA,8.06E-01
EMCN,-0.8061914,NA,6.32E-01
PPP3CA,2.0918098,NA,1.59E-01
SLC39A8,-2.7360854,NA,8.87E-02
UBE2D3,0.9886034,NA,5.08E-01
TET2,-0.9474928,NA,4.89E-01
TBCK,-1.3906102,NA,4.23E-01
LEF1,0.423431,NA,7.37E-01
ETNPPL,0.7257755,NA,6.98E-01
COL25A1,-0.9132047,NA,5.64E-01
COL25A1-DT,-0.8363331,NA,6.47E-01
EGF,-0.8460704,NA,6.73E-01
ELOVL6,-0.9788038,NA,5.30E-01
LOC105377363,1.8340605,NA,2.55E-01
ANK2,0.3679305,NA,7.07E-01
ARSJ,-1.6590075,NA,3.10E-01
UGT8,0.0244173,NA,9.88E-01
NDST3,-2.2248239,NA,9.09E-02
LOC729218,-1.0736011,NA,4.29E-01
SYNPO2,-0.0573791,NA,9.71E-01
USP53,-0.7378707,NA,6.20E-01
PDE5A,0.5666939,NA,7.02E-01
BLTP1,-0.1505715,NA,8.96E-01
SPATA5,-1.6794937,NA,4.11E-01
ANKRD50,-0.4067969,NA,8.42E-01
FAT4,1.2426997,NA,3.99E-01
INTU,0.5180841,NA,7.44E-01
HSPA4L,1.1855486,NA,5.47E-01
ABHD18,0.054577,NA,9.76E-01
SCLT1,1.6223274,NA,3.74E-01
C4orf33,-0.3478548,NA,8.51E-01
PCDH10,-0.5960697,NA,7.20E-01
SETD7,-0.5792085,NA,6.69E-01
RNF150,1.1593633,NA,4.36E-01
INPP4B,-0.3700591,NA,7.98E-01
GAB1,-0.0326836,NA,9.81E-01
ZNF827,-0.137627,NA,9.29E-01
LOC105377468,1.6152415,NA,4.32E-01
LSM6,-0.4742506,NA,8.07E-01
SLC10A7,0.0457861,NA,9.77E-01
EDNRA,-0.2354309,NA,9.05E-01
NR3C2,-1.2640435,NA,4.37E-01
LOC105377481,-0.9402316,NA,5.43E-01
DCLK2,-0.7225412,NA,6.37E-01
LRBA,-0.3882765,NA,7.94E-01
FHIP1A,-0.8533489,NA,6.19E-01
FBXW7,1.3455644,NA,4.17E-01
FHDC1,0.1026206,NA,9.41E-01
TRIM2,-0.3563436,NA,7.65E-01
TMEM131L,-0.1779655,NA,8.80E-01
DCHS2,0.0777313,NA,9.60E-01
GRIA2,-1.7267112,NA,2.38E-01
RXFP1,1.5705034,NA,2.66E-01
FNIP2,2.4315918,NA,1.68E-01
MARCHF1,-0.6680731,NA,6.64E-01
TMEM192,-0.01041,NA,9.94E-01
DDX60,-1.5124774,NA,4.18E-01
PALLD,-0.0328037,NA,9.80E-01
SH3RF1,-1.7637939,NA,4.44E-01
MFAP3L,-1.0622604,NA,3.76E-01
GALNT7,1.700818,NA,3.19E-01
TENM3,1.9130788,NA,1.91E-01
LOC105377576,0.0842136,NA,9.59E-01
WWC2,0.39252,NA,7.88E-01
IRF2,0.2046376,NA,8.85E-01
ACSL1,-1.6946981,NA,3.17E-01
LOC105377588,-1.338756,NA,4.68E-01
SORBS2,-0.4464014,NA,7.76E-01
FAM149A,-1.40859,NA,3.90E-01
FAT1,-0.4639623,NA,6.90E-01
DBET,0.2426713,NA,8.24E-01
LOC107986338,0.1437848,NA,9.35E-01
PLEKHG4B,1.3900799,NA,2.52E-01
SDHA,-0.5138186,NA,6.95E-01
PDCD6,-1.4270465,NA,3.84E-01
AHRR,-0.7523752,NA,7.45E-01
EXOC3,-1.3145909,NA,3.92E-01
SLC9A3,-0.5234261,NA,6.97E-01
BRD9,-0.0410598,NA,9.72E-01
TRIP13,-0.9919279,NA,5.90E-01
NKD2,-0.6765106,NA,6.59E-01
SLC12A7,0.5186127,NA,6.95E-01
LOC107986396,-1.7402407,NA,3.21E-01
SLC6A19,-0.8684056,NA,5.98E-01
SLC6A18,3.1477735,NA,5.28E-02
CLPTM1L,-2.0193842,NA,2.12E-01
SLC6A3,-0.6062271,NA,6.75E-01
LPCAT1,-0.3848042,NA,8.05E-01
LOC107986397,0.5863856,NA,7.09E-01
IRX4,-0.6271867,NA,7.05E-01
IRX2,-0.3508797,NA,8.13E-01
IRX2-DT,-1.612941,NA,4.03E-01
LINC01019,-1.5383024,NA,3.71E-01
ADAMTS16,-0.9539687,NA,5.03E-01
SRD5A1,-2.0828902,NA,2.09E-01
TENT4A,0.4110841,NA,8.07E-01
ADCY2,-0.0483786,NA,9.72E-01
LOC101929307,-2.584623,NA,1.28E-01
SEMA5A,0.1386253,NA,9.24E-01
CCT5,0.3428597,NA,8.51E-01
MARCHF6,-0.4158668,NA,7.64E-01
CTNND2,0.2316946,NA,8.78E-01
DNAH5,-0.2357433,NA,8.77E-01
OTULIN,-0.3908326,NA,7.56E-01
ANKH,-1.8128277,NA,2.34E-01
FBXL7,1.055245,NA,5.59E-01
RETREG1,0.8036879,NA,6.19E-01
MYO10,-0.3171765,NA,7.37E-01
CDH6,-0.3074691,NA,8.17E-01
DROSHA,0.4137821,NA,7.54E-01
PDZD2,-1.1625792,NA,2.74E-01
MTMR12,-0.7177516,NA,7.07E-01
ZFR,0.7988488,NA,6.14E-01
SUB1,1.9011995,NA,2.05E-01
C1QTNF3,-0.5992146,NA,6.57E-01
DNAJC21,-0.1864923,NA,9.10E-01
PRLR,-1.8119311,NA,2.94E-01
SPEF2,-0.1761411,NA,9.13E-01
UGT3A1,0.0698766,NA,9.65E-01
SLC1A3,1.5322652,NA,3.05E-01
NIPBL-DT,0.8887829,NA,6.30E-01
NIPBL,0.3835093,NA,7.65E-01
CPLANE1,0.8503721,NA,6.02E-01
NUP155,0.3474707,NA,8.25E-01
EGFLAM,0.2431293,NA,8.54E-01
LIFR,-1.7420864,NA,2.16E-01
LIFR-AS1,0.5994161,NA,7.29E-01
LOC107986414,0.6502252,NA,7.28E-01
OSMR,-0.9471365,NA,4.29E-01
RICTOR,-0.38704,NA,8.30E-01
FYB1,-0.9925001,NA,4.98E-01
MROH2B,-1.2843531,NA,4.64E-01
ITGA1,-1.4243126,NA,3.62E-01
FST,-1.4878819,NA,3.63E-01
SNX18,-1.8739081,NA,2.61E-01
LOC105378967,-0.916993,NA,6.46E-01
SLC38A9,0.5556603,NA,7.55E-01
IL31RA,0.653276,NA,7.13E-01
GPBP1,2.0082321,NA,2.77E-01
PDE4D,-1.9798347,NA,4.89E-02
LOC107986350,-1.0546359,NA,4.05E-01
PART1,-0.3738582,NA,8.44E-01
RNF180,-0.0061289,NA,9.97E-01
CWC27,-2.298287,NA,1.62E-01
ADAMTS6,-0.3582178,NA,8.02E-01
CENPK,-0.6366955,NA,6.98E-01
NLN,-1.943971,NA,1.76E-01
ERBIN,0.3867098,NA,8.37E-01
MAST4,-1.4945688,NA,2.19E-01
PIK3R1,0.5929912,NA,7.07E-01
LOC105379011,-2.8073293,NA,1.29E-01
GUSBP3,-1.033673,NA,4.77E-01
GUSBP14,0.5163784,NA,7.18E-01
LOC441081,-0.7016133,NA,5.74E-01
GUSBP16,0.5567985,NA,6.87E-01
LOC101929599,-1.4023616,NA,4.56E-02
NAIP,1.0861095,NA,3.80E-01
GTF2H2,-0.1155033,NA,9.53E-01
BDP1,-1.8585491,NA,1.27E-01
MCCC2,-1.1822336,NA,5.36E-01
LOC105379028,-0.6544803,NA,6.89E-01
PTCD2,-0.3993675,NA,8.26E-01
TNPO1,1.5635562,NA,2.22E-01
FCHO2,-1.7340671,NA,2.53E-01
ARHGEF28,-0.1595685,NA,9.11E-01
ENC1,-0.2079638,NA,9.13E-01
ANKRD31,0.284696,NA,8.73E-01
POLK,-0.9925885,NA,5.09E-01
SV2C,-0.9861209,NA,5.66E-01
IQGAP2,1.1934415,NA,3.66E-01
AP3B1,-0.0277415,NA,9.87E-01
CMYA5,-1.4586379,NA,3.68E-01
SERINC5,-0.3944332,NA,7.88E-01
ZFYVE16,-0.9351584,NA,3.48E-01
RASGRF2,1.0875674,NA,5.33E-01
CKMT2,-0.7924596,NA,6.49E-01
VCAN,2.4449948,NA,5.83E-02
LOC107986432,-2.8769519,NA,5.63E-02
FAM172A,0.9230714,NA,3.81E-01
KIAA0825,0.5364837,NA,6.01E-01
MCTP1,1.8055275,NA,2.10E-01
SPATA9,-1.6033367,NA,3.43E-01
PCSK1,-2.0381092,NA,2.94E-01
ERAP1,-0.8639182,NA,5.77E-01
LIX1-AS1,-1.8279487,NA,2.38E-01
CHD1,2.0149682,NA,1.56E-01
PPIP5K2,1.1866119,NA,3.44E-01
FBXL17,-0.6174375,NA,6.80E-01
FER,-0.0252923,NA,9.88E-01
TMEM232,-0.8775554,NA,5.11E-01
CAMK4,-0.4669304,NA,7.54E-01
EPB41L4A,-1.6495316,NA,3.59E-01
APC,0.2159209,NA,8.66E-01
SRP19,0.4085188,NA,7.55E-01
DCP2,-0.5605575,NA,7.41E-01
MCC,-1.4513204,NA,2.06E-01
KCNN2,0.1054162,NA,9.54E-01
TRIM36,-0.9220934,NA,6.55E-01
PGGT1B,-0.9939135,NA,5.59E-01
SEMA6A,0.6595938,NA,7.26E-01
TNFAIP8,1.8106523,NA,3.12E-01
SNX2,-1.9454157,NA,2.21E-01
PRDM6,-0.8168962,NA,6.27E-01
MARCHF3,0.0003887,NA,1
MEGF10,-0.543492,NA,7.03E-01
CCDC192,-1.4085958,NA,3.48E-01
SLC12A2-DT,1.015418,NA,4.45E-01
FBN2,1.3959861,NA,3.38E-01
CHSY3,0.0768258,NA,9.61E-01
ACSL6,0.4205068,NA,7.16E-01
P4HA2,0.1291393,NA,9.42E-01
KIF3A,-0.3471046,NA,7.94E-01
AFF4,-0.7671401,NA,6.36E-01
HSPA4,0.0983574,NA,9.48E-01
FSTL4,1.4478053,NA,2.98E-01
CTB-3M24.3,-0.6299556,NA,7.07E-01
SKP1,-0.5782967,NA,7.00E-01
CDKL3,-0.390774,NA,8.10E-01
JADE2,-0.579672,NA,6.70E-01
SAR1B,-1.8403324,NA,3.05E-01
SEC24A,0.7454246,NA,6.82E-01
DDX46,-0.3842127,NA,7.90E-01
MACROH2A1,0.1476823,NA,9.11E-01
TIFAB,-2.5859561,NA,8.05E-02
SLC25A48,0.5151365,NA,7.56E-01
KLHL3,0.2251351,NA,8.90E-01
BRD8,0.7296887,NA,5.75E-01
KDM3B,-0.0929812,NA,9.35E-01
SIL1,-0.4670162,NA,8.09E-01
MATR3,0.3800686,NA,7.73E-01
PAIP2,1.427054,NA,4.79E-01
SLC23A1,-0.3346213,NA,8.60E-01
CXXC5,-0.7850806,NA,5.04E-01
PSD2,-0.8448276,NA,3.09E-01
NRG2,-0.4441396,NA,7.46E-01
PURA,2.0511057,NA,1.55E-01
SLC4A9,-0.1324738,NA,9.30E-01
ANKHD1-EIF4EBP3,0.20662,NA,8.77E-01
ANKHD1,0.9791148,NA,4.85E-01
WDR55,0.3532397,NA,8.61E-01
PCDHB5,0.7766699,NA,6.93E-01
PCDHB12,0.6054912,NA,7.63E-01
PCDHGC5,-1.2740135,NA,4.49E-01
DIAPH1,1.4025719,NA,3.00E-01
HDAC3,0.8343917,NA,5.98E-01
ARAP3,0.9396751,NA,4.25E-01
LOC107986454,-1.6113326,NA,1.88E-01
PCDH1,-0.7404356,NA,4.03E-01
DELE1,0.601919,NA,6.56E-01
SPRY4,-0.3460134,NA,8.28E-01
